Sl.NO.,Heads of Crime ,Major heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0,,,0,,,,
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,0,0,,,1,,,,
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,1,0,0,,,36,,,,
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,0,0,0,0,,,0,,,,
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0,,,1,,,,
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,8,1,1,3,,,0,,,,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0,,,0,,,,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,21,0,8,2,,,0,,,,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,0,0,0,,,3,,,,
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,44,9,5,6,,,2,,,,
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,0,0,0,,,3,,,,
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,7,2,0,3,,,11,,,,
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0,,,0,,,,
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,62,28,16,13,,,3,,,,
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Sub Total,3782,784,959,353,,,17,,,,
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,CYBER CRIME,,,,,,,232,,,,
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Information Technology Act 2000, 2009",9702,1572,1574,2281,,,0,,,,
647,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0,,,0,,,,
648,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,0,0,0,,,,,,,
649,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,0,0,0,0,,,,,,,
650,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,3,0,0,1,,,,,,,
651,B - SPECIAL & LOCAL LAWS,POCSO,Rape,1163,227,224,205,,,,,,,
652,B - SPECIAL & LOCAL LAWS,POCSO,Others ,426,99,93,88,,,,,,,
653,B - SPECIAL & LOCAL LAWS,Rape (Sec. 376 IPC),1.1  Custodial Rape,1,0,0,0,,,,,,,
654,B - SPECIAL & LOCAL LAWS,Rape (Sec. 376 IPC),1.2  Gang Rape,8,0,1,2,,,,,,,
655,B - SPECIAL & LOCAL LAWS,Rape (Sec. 376 IPC),1.3  other Cases of Rape,270,49,50,78,,,,,,,
656,B - SPECIAL & LOCAL LAWS,Outraging modesty (Molestation) (sec.354 IPC),NA,3011,521,612,682,,,412,,,,
657,B - SPECIAL & LOCAL LAWS,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,51,13,11,11,,,13,,,,
658,B - SPECIAL & LOCAL LAWS,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,48,12,12,12,,,399,,,,
659,B - SPECIAL & LOCAL LAWS,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0,,,,,,,
660,B - SPECIAL & LOCAL LAWS,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,3,2,3,0,,,,,,,
661,B - SPECIAL & LOCAL LAWS,Murder for other reasons,NA,184,34,39,45,,668,,,,,
662,B - SPECIAL & LOCAL LAWS,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,1,0,0,0,,37,,379,,,221
663,B - SPECIAL & LOCAL LAWS,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,17,5,1,5,,631,,18,,,15
664,B - SPECIAL & LOCAL LAWS,Attempt to Commit murder for other reasons,NA,361,53,71,100,,213,,361,,,206
665,B - SPECIAL & LOCAL LAWS,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0,,16,,459-32,,,
666,B - SPECIAL & LOCAL LAWS,Dowry Death-by other Means (Sec.304(B) IPC),NA,45,47,9,9,224,197,,,,,
667,B - SPECIAL & LOCAL LAWS,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,1380,183,219,325,,,,,,598,
668,B - SPECIAL & LOCAL LAWS,Abetment of Suicide (Sec.306 IPC),NA,117,13,13,9,,,408,,,33,
669,B - SPECIAL & LOCAL LAWS,Immoral Traffic (prevention) Act.,NA,144,22,12,32,262,,,,,565,
670,B - SPECIAL & LOCAL LAWS,Indecent Representation of Women(Prohibition) Act-1986,NA,0,1,0,0,,,,,,,
671,B - SPECIAL & LOCAL LAWS,Pornography,NA,0,0,0,0,,,,224,,,
672,B - SPECIAL & LOCAL LAWS,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,56,8,15,11,,,,,393,,
673,B - SPECIAL & LOCAL LAWS,Offences related to Marriage,NA,15,3,1,4,403,,,,29,,
674,B - SPECIAL & LOCAL LAWS,Cyber Crimes,NA,2849,590,447,618,,,,,364,,
675,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,0,0,0,0,,,,,,,
676,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0,,,,,,,
677,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,21,3,2,3,,,,,,,
678,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,1720,287,320,437,,,,,,,
679,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,4,0,1,0,,,,,,,
680,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0,,,,,,,
681,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,1,0,0,,,,,,,
682,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0,,,,,,,
683,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,0,0,0,0,,,,,,,
684,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0,,,,,1601,,
685,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,1,0,0,1,,,,,11,,
686,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,11,1,4,2,,,,,1590,,
687,D.CRIME AGAINST CHILDREN,Sub Total ,NA,1736,289,325,440,,,,,,,
688,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0,,,,,,,
689,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,67,10,19,20,,,,,,,
690,D.CRIME AGAINST CHILDREN,POCSO Act,NA,1592,326,317,294,,,,,,,
691,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,13,1,2,3,,,,,,,
692,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,73,12,25,18,,,,,,,
693,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,30,19,7,4,,,,,,,
694,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,0,0,0,0,,,,,,,
695,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,45,12,9,3,,,,,,,
696,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,141,32,28,23,,,,,,,
697,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,21,3,2,3,,,,,,,
698,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,1,0,0,0,,,,,,,
699,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,922,140,184,158,,,,,,,
