Sl.No,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0,,1,,,,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,1,0,0,,1,,,,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,2,1,1,0,,2,,,,
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,1,0,0,,4,,,,
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0,,1,,,,
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0,,18,,,,
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,588,9,102,232,,0,,,,
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0,,1,,,,
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0,,3,,,,
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0,,5,,,,
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0,,0,,,,
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,0,,1,,,,
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0,,36,,,,
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,2,0,1,0,,0,,,,
650,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0,,1,,,,
651,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,13,1,2,1,,0,,,,
652,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0,,0,,,,
653,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,39,5,7,7,,0,,,,
654,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,0,0,0,,3,,,,
655,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,60,15,3,2,,2,,,,
656,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,0,0,0,,3,,,,
657,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,11,0,2,1,,11,,,,
658,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0,,0,,,,
659,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,112,21,12,14,,3,,,,
660,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",17271,2021,1774,1688,,0,,,,
661,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,POCSO,,,,,,408,,,,
662,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,Custodial Rape,1,0,1,0,,,,,,
663,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,Gang Rape,1,0,0,1,,,,,,
664,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,Rape with Murder,6,1,0,0,,,,,,
665,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,Rape,2252,236,233,204,,,,,,
666,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,Others ,772,85,102,81,,,,,,
667,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,1,0,0,0,,,,,,
668,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,11,1,2,0,,,,,,
669,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,476,48,49,52,,,,,,
670,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,5029,558,477,473,,412,,,,
671,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,96,11,10,6,,13,,,,
672,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,125,16,13,27,,399,,,,
673,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,1,0,0,,,,,,
674,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,11,4,4,2,,,,,,
675,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,295,25,29,32,668,,,,,
676,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,1,0,0,0,37,,556,,,605
677,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,29,2,4,4,631,,26,,,30
678,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,575,65,64,54,213,,530,,,575
679,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,0,0,1,16,,459-32,,,
680,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,87,23,10,12,197,,,,,
681,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,2344,240,241,249,,,,,598,
682,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,122,6,19,12,,408,,,33,
683,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,224,22,15,23,,,,,565,
684,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,1,1,0,0,,,,,,
685,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0,,,224,,,
686,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,100,13,7,19,,,,393,,
687,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,23,3,1,2,,,,29,,
688,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,5190,685,544,555,,,,364,,
689,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,1,0,1,0,,,,,,
690,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0,,,,,,
691,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,44,2,5,4,,,,,,
692,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,2238,302,338,373,,,,,,
693,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,7,1,0,0,,,,,,
694,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0,,,,,,
695,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0,,,,,,
696,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0,,,,,,
697,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,3,0,1,0,,,,,,
698,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0,,,,2258,,
699,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0,,,,20,,
700,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,15,1,1,2,,,,2238,,
701,D.CRIME AGAINST CHILDREN,Sub Total ,NA,2263,304,340,375,,,,,,
702,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0,,,,,,
703,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,124,14,13,12,,,,,,
704,D.CRIME AGAINST CHILDREN,POCSO Act,NA,3032,322,336,286,,,,,,
705,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,22,2,2,0,,,,,,
706,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,111,20,11,10,,,,,,
707,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,90,22,29,5,,,,,,
708,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,1,0,0,1,,,,,,
709,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,80,7,6,7,,,,,,
710,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,267,28,20,23,,,,,,
711,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,34,1,3,2,,,,,,
712,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,0,0,0,0,,,,,,
713,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,1535,198,162,163,,,,,,
